hanyu,pinyin,日本語,correct,hsk_level,explanation,w1,w2,w3,zero_based_correct_number,
二手书店,,,古本屋,,,,,,,
准备,zhun3 bei4,準備をする,～するつもりである、～の予定がある、準備をする、準備,3,「《准备》」は、それぞれ「準備」の簡体字。,～しなければならない、準備をする、準備,准教授,批准、批准する,3,
笔记本,bi3 ji4 ben3,ノート,ノート、ノートパソコン,3,,,,,,
信用卡,xin4 yong4 ka3,クレジットカード,クレジットカード,3,,,,,,
容易生气,,,怒りっぽい、短気だ,3,,,,,,
大熊猫,xiong2 mao1,パンダ,ジャイアント・パンダ,3,"《猫》(mao1)が、ネコ。
《熊猫》が、パンダ。
《大熊猫》が、ジャイアント・パンダ。",大きい猫,大きいクマ,化ける,3,
个子,ge4 zi5,身長,身長,3,,,,,,
雨伞,,,雨傘、いわゆる傘,3,,日傘,サングラス,雨風,,
A 放着B,fang4 zhe5,離す,AにBがある,3,,BにAがある,AはBを放置する,AはBに放置される,1,
汽车,,,自動車,3,"日本語で「汽車(きしゃ)」は列車のことだが、
中国語の「汽车」は自動車なので注意。",電車,,機関車,,
嘴,zui3,口,口,3,,,,,,
一边A一边B,,,AしながらBする、Aする一方でBする,,,AでもBでも、AとBの両方が,AかBをする,AもBもしない,3,
慢慢地走,,,ゆっくりと歩く,3,,ゆっくりと走る,やる気なく歩く,やる気なく走る,2,
搬家,,,引っ越す,3,,家族と旅行する,家を買う,忙しい,1,
电子信箱,,,電子メールボックス,3,"メールの受信箱
《电子邮箱》の方がよく使われているかもしれない。

《电子》は、電子。
《信》は、「手紙(てがみ)」の意味。
《信箱》は、「ポスト」や「郵便受け」として使われる単語。",,,,,
皮鞋,pi2 xie2,革の靴,革靴(かわぐつ),3,,,,,,試験にでた
运动裤,,,スラックス,3,,,,,,試験にでた
动物园,dong4 wu4 yuan2,,動物園,3,,運動会,植物園,運動会,3,試験にでた
图,,,図,,「文章の途中で説明のために挟まれる図」の意味がある。,試合、競技,残酷な,イケメン,0,
留学,liu2 xue2,留学,留学する,3,,ない,買う,もしもし,3,
爱情,ai4 qing2,愛,愛,4,,残酷な,イケメン,比較する、【前置詞】〜に比べて、【副詞】比較的,1,
安排,an1 pai2,段取りする,段取りする、手配する、アレンジする,4,,急須,必然性,【助動詞】絶対に〜するな,1,
安全,an1 quan2,安全,安全だ,4,,東北,冷蔵庫,他人,3,
暗,an4,暗い,暗い,4,,演じる、上演する,思う,感じる,0,
按时,an4 shi2,時間通りに,時間通りに,4,,表明する、表現する、言動,思う,感じる,3,
按照,an4 zhao4,によると、,〜によると、〜による,4,,イケメン,離婚,破局,1,
包括,bao1 kuo4,含め,含む,4,,徴兵,戦場,作戦会議,2,
保护,bao3 hu4,保護,保護する、大切にする,4,,ゴミ箱,パソコン,ケータイ,3,
保证,bao3 zheng4,保証,保証、保証する,4,,映画館,天女,神様,2,
抱,bao4,抱える,抱える、抱く,4,量詞でもある,時刻表,スケジュール,パソコン,2,
抱歉,bao4 qian4,すみません,申し訳なく思う、申し訳ありません,4,,集める,罵る,戸惑う,2,
报道,bao4 dao4,レポート,報道、報道する,4,,薬剤,雄叫び,弱い,0,
报名,bao4 ming2,登録する,エントリーする、申し込む、登録する、応募する,4,,高層マンション,スーパーマーケット,手紙,1,
倍,bei4,時間,【量詞】倍,4,,ゲーム,打つ,蹴る,3,
本来,ben3 lai2,元々,本来、元々、本来の,4,,スーパーマン,犯罪者,市長,1,
笨,ben4,愚か,愚かだ、下手だ,4,,スカート,ズボン,メガネ,1,
笔记本,bi3 ji4 ben3,ノート,ノート、ノートパソコン,4,,時刻表,成長,思春期,3,
毕业,bi4 ye4,卒業,卒業する,4,"離合詞
从○○大学毕业： ○○大学を卒業する",スーパーマーケット,田舎,昔,2,
遍,bian4,全体,あまねく,4,"日本語で「遍」は、ヘン・あまね(く)と読む。
量詞もある。",早く着く,沢に到着する,倒れる,3,
标准,biao1 zhun3,標準,標準、標準的だ,4,,わからない,戸惑う,出身,2,
表达,biao3 da2,表現,表す,4,《达》は、達の簡体字。,トイレ,中学生,居間、部屋,3,
表格,biao3 ge2,表,表、フォーム,4,,【前置詞】〜を含めて,除く,含む,0,
表扬,biao3 yang2,賞賛,賞賛,4,,夏,秋,冬,2,
饼干,bing3 gan1,ビスケット,クッキー、ビスケット,4,,枕,アジア,俳句,0,
并且,bing4 qie3,その他に,【接続詞】その上,4,,耳や目がいい、耳や目の能力が高い,ポジティブ、明るい,美人,0,
博士,bo2 shi4,博士,博士,4,,打ち返す,そばを作る,うどんを作る,2,
不但,bu4 dan4,だけでなく、,だけでなく,4,,暗算,算数を勉強する,数学で勝つ,1,
不过,bu4 guo4,但し,但し,4,,ベルトコンベア,大陸,鉄道,1,
不得不,bu4 de2 bu4,しなければなりません,しなければなりません,4,,安心する,関心を持つ、気に留める,疑い深い,1,
不管,bu4 guan3,にもかかわらず,にもかかわらず,4,,繭(まゆ),蚕の巣,月餅,3,
不仅,bu4 jin3,だけでなく、,だけでなく,4,,自然だ、【副詞】自然に,当番,天然,0,
部分,bu4 fen4,部分,部分,4,,地下トンネル,地下闘技場,地獄,3,
擦,ca1,拭く,拭く,4,,トンネル,お手洗い,バナナ,0,
猜,cai1,推測,推測,4,,背丈が小さい,天気,馬,1,
材料,cai2 liao4,材料,材料,4,,田舎,サバイバル,お手洗い,1,
参观,can1 guan1,参観,参観する、見学する,4,,バス,タクシー,新幹線,1,
差不多,cha4 bu5 duo1,殆ど,殆ど,4,,古本屋,地下アイドル,屯田兵,1,
尝,chang2,味見する,味見する,4,,地獄,階段,はしご,0,
长城,Chang2 cheng2,万里の長城,万里の長城,4,,ケータイ,パソコン,電車,1,
长江,Chang2 jiang1,揚子江,長江、揚子江,4,,西,東京,置き時計,1,
场,chang3,フィールド,フィールド,4,,秋,夏,春,0,
超过,chao1 guo4,上回り,追い越す、上回る,4,,運動,面倒,動力,0,
吵,chao3,騒々しい,騒々しい,4,,遅い,背丈が小さい,牛,1,
成功,cheng2 gong1,成功,成功する,4,,【量詞】歩数を数える。一歩、二歩。,長い,背丈が小さい,3,
成熟,cheng2 shu2,成熟,成熟,4,,短い,長い,魔法,2,
成为,cheng2 wei2,になる,になる,4,,誰が,なぜ,もっともっと,0,
诚实,cheng2 shi2,正直な,正直な,4,,満腹だ,億劫,歩く,3,
乘坐,cheng2 zuo4,乗る,乗る,4,,【接続詞】けれども,【接続詞】だから,【接続詞】ゆえに,0,
吃惊,chi1 jing1,ショック,びっくりする,4,,鼻,逃げる,退避する,0,
重新,chong2 xin1,再び,重ねて、再び、改めて、新たに,4,,熱意、情熱、親切だ,しかし,新しくする,1,
抽烟,chou1 yan1,喫煙,タバコを吸う、喫煙する,4,,研究、研究する,探求、探求する,散髪、散髪する,2,
出差,chu1 chai1,出張で,出張する、よその担当をする,4,,おじいさん,安い,愛する,3,
出发,chu1 fa1,出発,出発する,4,,バナナ,呼吸,息,3,
出生,chu1 sheng1,生れつき,出生する、生まれる,4,,心配する,気をつける、注意深い,関心を持つ、気に留める,1,
传真,chuan2 zhen1,ファックス,ファックス,4,,嫌い,おもちゃ,先祖,1,
窗户,chuang1 hu5,窓,窓,4,《窗》が窓(まど・ソウ)の簡体字。,安産,安い,冷静,0,
词典,ci2 dian3,辞書,辞書,4,,綺麗,群衆,習字,1,
从来,cong2 lai2,これまでずっと,これまでずっと,4,,干からびている,群衆,みなさん,1,
粗心,cu1 xin1,不注意な,不注意な,4,,半分,クラス,死体,2,
答案,da2 an4,答え,答え,4,,運搬する,クラス,仕事,3,
打扮,da3 ban5,ドレスアップ,着飾る、扮装する、装い,4,,法律,裁判官,弁護士,2,
打扰,da3 rao3,乱し,邪魔をする,4,,校長,弁護士,市長,3,
打印,da3 yin4,プリント,印刷する,4,,居座る、籠城,【副詞】根気強く,探偵,3,
打折,da3 zhe2,割引,割り引く,4,,開ける,満腹だ,空腹だ,3,
打针,da3 zhen1,注射を与え,注射をする,4,,空腹だ,包む,伝える,2,
大概,da4 gai4,多分,多分,4,,被る,コップ,米軍,2,
大使馆,da4 shi3 guan3,大使館,大使館,4,,感謝する,またね,嬉しい,1,
大约,da4 yue1,およそ,およそ,4,,家に帰る,寄り道する,頭がいい,3,
戴,dai4,着用,身につける、着用する、かぶる,4,,非常に,飛行機,空,0,
代表,dai4 biao3,を代表して,代表、代表する,4,,感謝する,頭が真っ白になる,嬉しい,3,
代替,dai4 ti4,代替,代える、代わる,4,,最後、最後にする,【副詞】とりわけ,【接続詞】したがって,2,
大夫,dai4 fu5,医師,医者、医師,4,,対話,教室,紹介する,2,
当,dang1,とき,とき,4,,成果,国,関心,0,
当地,dang1 di4,地元,地元,4,,河童(かっぱ),フグ,三途の川,3,
当时,dang1 shi2,当時,当時,4,,【接続詞】したがって、【副詞】絶対に,【接続詞】なぜならば、【副詞】絶対に,【副詞】ずっと,2,
刀,dao1,刀,刀,4,,害獣,害虫,不審者,3,
导游,dao3 you2,ガイド,観光案内する、ガイドする、観光案内人、ガイド,4,,河童(かっぱ),フグ,三途の川,1,
到处,dao4 chu4,どこにでも,いたるところ、どこでも,4,,まな板,パソコン,時刻表,1,
到底,dao4 di3,最後に,【副詞】ついに、結局,4,,写真,カメラ,護る,0,
道歉,dao4 qian4,謝り,わびる,4,,キロメートル,会社,会社員,1,
得意,de2 yi4,誇りに思い,得意になる,4,,学校,駅,宿舎,0,
得,dei3,得,得,4,,安い,貴社,あなた,0,
等,deng3,待つ,待つ,4,,カップ、コップ,さらに,環境,3,
底,di3,終了,終了,4,,過ぎる,悪い、壊す、壊れている,大人,3,
地球,di4 qiu2,地球,地球,4,,過ぎる,さらに,悪い、壊す、壊れている,3,
地址,di4 zhi3,アドレス,住所、宛先,4,,さらに,環境,大好き,2,
掉,diao4,秋,落ちる,4,,語る,高い,安い,1,
调查,diao4 cha2,調査,調査する、調べる,4,,会長,会話,会報,3,
丢,diu1,投げ,失う、投げる、捨てる、放っておく,4,,実際,本物,高い,0,
动作,dong4 zuo4,アクション,動作、行動する、アクション,4,,どのように呼ぶか,何度呼ぶか,全てに,1,
堵车,du3 che1,交通渋滞,交通渋滞,4,,家に帰る,寄り道する,頭がいい,0,
肚子,du4 zi5,腹,腹,4,,瞳,腕,足,3,
断,duan4,断つ,断つ,4,,【動詞】値引きする,【動詞】記す,【動詞】得する,0,
对,dui4,へ,へ,4,,お祭り,プログラム,休日,0,
对话,dui4 hua4,対話,対話,4,,検査する、視力をはかる,検査する、辞書で調べる,検査する、破壊する,1,
对面,dui4 mian4,逆の,向かい(側)、面と向かい合う、対面する,4,,写真機,お姉ちゃん,コーヒー,3,
顿,dun4,止まる,止まる,4,,本当、本当は,運動、運動する,会う、会見,2,
朵,duo3,花,花,4,,祝日,急死,人間,1,
而,er2,と,と,4,,雨,晴れ,寒い,2,
儿童,er2 tong2,子供,子供,4,,目,顔,唇(くちびる),0,
发,fa1,髪,髪,4,,脚 (足首から付け根・もも),指,メガネ,0,
发生,fa1 sheng1,発生する,発生する,4,,教える,比べる,〜と申します,1,
发展,fa1 zhan3,開発,開発,4,,仲介、仲介する、つなぐ,休日、休む,プログラム,2,
法律,fa3 lv4,法則,法則,4,,会う,帰る,戦う,3,
翻译,fan1 yi4,翻訳,翻訳,4,,婚約者,婚約する,結束する,0,
烦恼,fan2 nao3,心配,心配,4,,結束、結束する,束、束になる、束ねる,連結、連結する、連結させる,0,
反对,fan3 dui4,反対,反対,4,,起き上がる,起きる,起こす,3,
反应,fan3 ying4,反応,反応,4,,意識,意外,静けさ,1,
范围,fan4 wei2,範囲,範囲,4,"范围(fan4 wei2) 範囲
周围(zhou1 wei2) 周囲",決別、決別する,解答、解答する,解凍、解凍する,1,
方法,fang1 fa3,方法,方法,4,,また,誰であっても,一般的にいえば,3,
方面,fang1 mian4,様相,様相,4,,マネージャー,走る,旅行する,2,
方向,fang1 xiang4,方向,方向,4,,経理部,過去、通り過ぎる,常に、いつも,3,
访问,fang3 wen4,訪問する,訪問する,4,,経理人、経理部,平時の、しょっちゅう、たえず,賢い,0,
放弃,fang4 qi4,諦め,諦め,4,,遠い,終わらない,大変つらい,3,
放暑假,fang4 shu3 jia4,夏休み,夏休み,4,,常に,特別に,一般的には,3,
〜分之〜,fen1 zhi1,…分の…,〜分の〜,4,,手を挙げる,鎮圧する,暴力を振るう,0,
份,fen4,パート,パート,4,,タケノコ,俳句,旬,3,
丰富,feng1 fu4,豊か,豊か,4,,月,太陽,思う,3,
风景,feng1 jing3,景色,景色,4,,また,誰であっても,一般的にいえば,2,
否则,fou3 ze2,その他,その他,4,,美しい,走る,旅行する,1,
符合,fu2 he2,に沿って、,に沿って、,4,,可能性,永遠,止まる,0,
富,fu4,豊か,豊か,4,,ホテル、ホテル従業員,主要人物,客体、対象、ターゲット,2,
父亲,fu4 qin1,父,父,4,,天気,魚,習慣,2,
复印,fu4 yin4,コピー,コピーする,4,,中国元,運動,魚,0,
复杂,fu4 za2,コンプレックス,複雑だ,4,,笑う,叫ぶ,魚,1,
负责,fu4 ze2,責任,責任,4,,スカート,学校,フォーク,1,
改变,gai3 bian4,変更,変更,4,,夜,午前,午後,3,
干杯,gan1 bei1,乾杯,乾杯,4,,バスケットボールをする,サッカーをする,割る,0,
干燥,gan1 zao4,干し,干し,4,,女優,俳優,筋肉,0,
感动,gan3 dong4,感動する,感動する,4,,離職、離職する,スタート,安い、買う,0,
感觉,gan3 jue2,感じる,感じる,4,,遠い,歴史,習慣、慣習,1,
感情,gan3 qing2,気持ち,気持ち,4,,困難,運動,魚,1,
感谢,gan3 xie4,感謝,感謝,4,,眉毛,まぶた,耳,0,
干,gan1,干す,干す,4,,おはよう,学校,フォーク,3,
刚刚,gang1 gang5,ついさっき,ついさっき,4,,自動車,明白な,スッキリする,2,
高级,gao1 ji2,高度,高度,4,,解決、解決する,従う、同意する,割る,2,
各,ge4,各,各,4,,女優,俳優,筋肉,2,
个子,ge4 zi5,身長,身長,4,,階段,窓,鉄格子,0,
公里,gong1 li3,キロ,キロメートル,4,,大自然,学校,フォーク,2,
工具,gong1 ju4,ツール,工具、道具、ツール,4,,母,鳥,筋肉,2,
工资,gong1 zi1,工賃,工賃,4,,熱意、情熱,買い物に行く,海に行く,2,
共同,gong4 tong2,一般的,共同の、共通して,4,,便利,値段が高い,背丈が低い,1,
够,gou4,十分に,十分に,4,,グラム,米国,種,3,
购物,gou4 wu4,ショッピング,ショッピング,4,,ラーメン,お米,小籠包,2,
孤单,gu1 dan1,孤独,孤独だ,4,,パン,お米,ラーメン,0,
估计,gu1 ji4,推計,見積もる、評価する,4,,真っ白な,純粋,可憐な,3,
鼓励,gu3 li4,励まし,励まし,4,,あれ,どれ,握りつぶす,3,
鼓掌,gu3 zhang3,拍手,拍手,4,,母,姉,妹,3,
顾客,gu4 ke4,顧客,顧客,4,,便利,値段が高い,背丈が低い,3,
故意,gu4 yi4,わざと,わざと,4,,写真,カメラ、写真機,魚,2,
挂,gua4,ハング,掛ける,4,《挂》は、掛の簡体字。,歓迎する,チーズ,晴れ,0,
关键,guan1 jian4,キー,キーポイント、決定的な,4,,若い,レベル,鳥,2,
观众,guan1 zhong4,聴衆,聴衆,4,,学年・【量詞】年生,レベル,年俸・年収,2,
管理,guan3 li3,管理,管理、管理する,4,,馬,ネコ,母,1,
光,guang1,ライト,ライト,4,,勤務、務める,今,今年,3,
广播,guang3 bo1,放送,放送、放送する,4,,爬虫類,半端ない,ひっかく,3,
广告,guang3 gao4,広告,広告,4,,船,ボート,小皿、【量詞】皿,3,
逛,guang4,訪問,散歩する,4,,痩せている,元気だ,元気がない,2,
规定,gui1 ding4,規定,規定,4,,牛乳,コーヒー,お茶,0,
国际,guo2 ji4,国際,国際、国際的な,4,,リンゴ,ビール,ワイン,1,
果然,guo3 ran2,真に,真に,4,,一般的には,東京,置き時計,0,
过,guo4,～したことがある,～したことがある,4,,真偽はさておき,とりわけ,冬,3,
过程,guo4 cheng2,プロセス,プロセス,4,,他人,面倒,動力,3,
海洋,hai3 yang2,海洋,海洋,4,,(バスや電車に)乗る,背丈が小さい,起きる,0,
害羞,hai4 xiu1,シャイ,恥ずかしがる,4,,短い,ノート、ノートパソコン,背丈が小さい,2,
寒假,han2 jia4,冬休み,冬休み,4,,綺麗だ,清楚だ,純粋だ,0,
汗,han4,汗,汗,4,,春,教師,自転車,3,
航班,hang2 ban1,フライト,定期飛行便、フライト,4,,満腹だ,億劫,歩く,2,
好处,hao3 chu5,利益,利益,4,,タクシー,電車,自動車,1,
好像,hao3 xiang4,～のような,～のような,4,,【接続詞】だけど,【副詞】確かに,退避する,2,
号码,hao4 ma3,番号,番号,4,,満足、満足する、満足させる,お湯,夏,3,
合格,he2 ge2,合格する,合格する,4,,研究する,探求する,散髪する,3,
合适,he2 shi4,適当,ちょうどよい、フィットする,4,,思う,安い,愛する,0,
盒子,he2 zi5,箱,箱,4,,【形容詞】容易だ、安い、【名詞】安物,【形容詞】容易だ、安い、【名詞】呼吸,【形容詞】容易だ、安らかな、【動詞】鎮める,0,
猴子,hou2 zi5,猿,猿,4,,必ず〜しなければならない,果物のように,安い,0,
厚,hou4,厚い,厚い,4,,嫌い,おもちゃ,先祖,1,
后悔,hou4 hui3,後悔,後悔する,4,,安産,安い,冷静,3,
后来,hou4 lai2,後,後,4,,短い,長い,魔法,0,
忽然,hu1 ran2,突然,突然,4,,先生,教師,自転車,3,
护士,hu4 shi5,看護師,看護師,4,,満腹だ,億劫,歩く,1,
互相,hu4 xiang1,互いに,互いに,4,,タクシー,電車,自動車,2,
怀疑,huai2 yi2,容疑者,容疑者,4,,鼻,逃げる,退避する,2,
回忆,hui2 yi4,リコール,回顧する,4,,最後,しかし,新しくする,0,
活动,huo2 dong4,アクティビティ,活動、動き、動く、不安定だ,4,,お父さん,祖父,散髪する,0,
活泼,huo2 po5,活発,活発,4,,おじいさん,安い,愛する,1,
火,huo3,火災,火災,4,,バナナ,呼吸,息,3,
获得,huo4 de2,得,獲得する,4,,歯ブラシ,歯,安い,3,
基础,ji1 chu3,財団,財団,4,,フタコブラクダ,兄弟,先祖,2,
激动,ji1 dong4,興奮,感動する、感激する,4,,安産,安い,冷静,0,
积极,ji1 ji2,ポジティブ,ポジティブ,4,,司令官,方向指示機,数字,2,
积累,ji1 lei3,蓄積,蓄積,4,,最後に,とりわけ,なぜなら,2,
极其,ji2 qi2,極めて,極めて,4,,月,雲,大安,0,
集合,ji2 he2,セット,集合する、集合させる,4,,嫌い,兄弟,先祖,2,
及时,ji2 shi2,タイムリー,タイムリーだ、タイムリーに,4,,安産,安い,冷静,0,
即使,ji2 shi3,例え,たとえ〜であっても,4,,バナナ,呼吸,息,1,
寄,ji4,送り,郵送する、委託する,4,,提案する,とりわけ,なぜなら,1,
记者,ji4 zhe3,レポーター,記者、ジャーナリスト,4,,体(からだ),彗星,大安,0,
计划,ji4 hua4,計画,計画、計画する,4,,辛い、塩辛い,苦,酸っぱい,3,
既然,ji4 ran2,今,〜である以上,4,,条例,彗星,大安,1,
技术,ji4 shu4,テクノロジー,技術、テクノロジー,4,,嫌い,兄弟,先祖,1,
继续,ji4 xu4,続け,継続、継続する,4,,意識,同級生,同僚,0,
家具,jia1 ju4,家具,家具,4,,バナナ,呼吸,息,0,
加班,jia1 ban1,残業,残業する、増発する,4,,ふっとばす、ふっとばされる,突風、突風が吹く,フォーク,3,
加油站,jia1 you2 zhan4,ガソリンスタンド,ガソリンスタンド,4,,ホテル,キッチン,料理長,0,
假,jia3,偽,嘘の、偽って,4,,月食,安い,冷静,3,
价格,jia4 ge2,価格,価格,4,,成人する,成り上がる,完敗させる,0,
坚持,jian1 chi2,やり通す,やり通す,4,,提案する,とりわけ,なぜなら,3,
减肥,jian3 fei2,体重を減らし,体重を減らし,4,,体(からだ),彗星,大安,3,
减少,jian3 shao3,減少,減少,4,,備忘録、メモ,メモする,抹消する,3,
将来,jiang1 lai2,将来,将来,4,,備忘録、メモ,メモする,抹消する,2,
奖金,jiang3 jin1,ボーナス,賞金、ボーナス,4,,月,彗星,大安,1,
降低,jiang4 di1,下がる,下がる,4,,嫌い,けれども,先祖,0,
交,jiao1,支払い,支払い,4,,安産,安い,冷静,0,
交流,jiao1 liu2,為替,交換する、交流する,4,,バナナ,呼吸,息,0,
交通,jiao1 tong1,トラフィック,交通,4,,東洋の,北方の,南米の,2,
骄傲,jiao1 ao4,誇りに思い,誇りに思い,4,,体(からだ),彗星,大安,1,
饺子,jiao3 zi5,餃子,餃子,4,,キッチン,寝室,しょっぱい,1,
教授,jiao4 shou4,教授,教授,4,,洗濯する,皿を洗う,溺れる,3,
教育,jiao4 yu4,教育,教育,4,,嫌い,兄弟,先祖,2,
接受,jie1 shou4,レセプション,レセプション,4,,安産,安い,冷静,0,
结果,jie1 guo3,結果,結果,4,,リンゴ,パンダ,ネコ,1,
节约,jie2 yue1,保存,節約する,4,,明日,今日,昨年・去年,1,
解释,jie3 shi4,説明,説明、説明する、釈明する,4,,逃げる,飛ぶ,行く,0,
尽管,jin3 guan3,であるが,であるが,4,,ゾウ(象),象使い,笑う,3,
紧张,jin3 zhang1,テンション,テンション,4,,安心する,心配する,関心を持つ、気に留める,0,
进行,jin4 xing2,上のキャリー,進行する、進行させる,4,,学校,校門,千,1,
禁止,jin4 zhi3,禁止,禁止,4,,カエル(蛙),泥,革(かわ),3,
精彩,jing1 cai3,素晴らしい,素晴らしい,4,,禁止する,新聞,タクシー,0,
精神,jing1 shen2,精神,精神,4,,ニュース,新聞,手紙,0,
经济,jing1 ji4,経済,経済,4,,トイレットペーパー、信じる、信用する,トイレットペーパー、求める,強い、信用する、信じる,3,
经历,jing1 li4,経歴,経歴,4,,してください,けれど,分かれ道,2,
经验,jing1 yan4,経験,経験,4,,短い,飛ぶ,歌う,2,
京剧,Jing1 ju4,中国の劇,京劇(中国の劇),4,,長い,短い,着る・穿く,2,
警察,jing3 cha2,警察,警察,4,,キスする,噛む,噛み砕く,2,
竟然,jing4 ran2,実は,実は,4,,キスする,船,洗濯する,2,
竞争,jing4 zheng1,競争,競争する,4,,電車,飛行機,タクシー,3,
镜子,jing4 zi5,鏡,鏡,4,,要求,要求する,大家,3,
究竟,jiu1 jing4,丁度,丁度,4,,夫婦,恋人,大勢の人々,0,
举办,ju3 ban4,ホールド,遂行する,4,,【副詞】全部で,怒る,太る,2,
拒绝,ju4 jue2,断り,拒絶する,4,,【副詞】一部で,【動詞】まとめる,【名詞】共通,3,
距离,ju4 li2,距離,距離,4,,将来は,一度会えば,【副詞】絶対に,3,
开玩笑,kai1 wan2 xiao4,ジョーク,からかう,4,,したがたって,なぜなら,また,0,
看法,kan4 fa3,意見,意見,4,,【前置詞】から,なぜならば,まったく,3,
考虑,kao3 lv4,考え,考え,4,,の,特別な,とりわけ,0,
棵,ke1,木,木,4,,なぜなら,思考,等しい,0,
科学,ke1 xue2,科学,科学,4,,とりわけ,特別な,等しい,1,
咳嗽,ke2 sou5,咳,咳,4,,しかし,一方通行,好き,3,
可怜,ke3 lian2,哀れみ,哀れみ,4,,【副詞】きわめて、ごく,電車のチケット,電車の時刻表,2,
可是,ke3 shi4,しかし,しかし,4,,決して,対して,笑う,1,
可惜,ke3 xi1,不運にも,不運にも,4,,苦手,とりわけ,友達,2,
肯定,ken3 ding4,確か,確か,4,,ホテル,影響を及ぼす,タクシー,0,
空气,kong1 qi4,空気,空気,4,,ふつうに,飛行機,空港,2,
恐怕,kong3 pa4,恐がる,恐がる,4,,公務員,先生,医者,2,
苦,ku3,苦い,苦い,4,,低い,短い,笑う,0,
宽,kuan1,幅,幅,4,,音声,訴え,訴える,2,
困,kun4,眠い,眠い,4,,持っている,空,海,3,
困难,kun4 nan5,難しさ,難しさ,4,,けれど,生きる,希望,2,
扩大,kuo4 da4,広げ,広げ,4,,願わくば,願い,情熱,0,
拉,la1,引く,引く,4,,キロメートル,会社,会社員,2,
垃圾桶,la1 ji1 tong3,ゴミ,ゴミ,4,,学校,駅,宿舎,0,
辣,la4,スパイシー,辛い,4,,言う、話す、怒る,言う、話す、逃げる,言う、話す、等,3,
来不及,lai2 bu5 ji2,遅すぎ,遅すぎ,4,,駅、貼る,粘る,占い,3,
来得及,lai2 de5 ji2,遅すぎ,遅すぎ,4,,短い,長い、長さ,大人,1,
懒,lan3,レイジー,怠惰だ(lazy),4,,過ぎる,さらに,隠し子,1,
浪费,lang4 fei4,廃棄物,廃棄物,4,,照らす、照明を当てる,反省する、内省する,反省している,3,
浪漫,lang4 man4,ロマンチック,ロマンチック,4,,語る,高い,安い,1,
老虎,lao3 hu3,虎,虎,4,,更地(さらち),リアル,平和,0,
冷静,leng3 jing4,穏やか,穏やか,4,,香港,本物,高い,2,
理发,li3 fa4,理髪,散髪する,4,,中止、中止する,またね,嬉しい,2,
理解,li3 jie3,理解,理解,4,,家に帰る,寄り道する,頭がいい,0,
理想,li3 xiang3,理想的,理想的,4,,沖,神,木,2,
礼貌,li3 mao4,礼儀,礼儀,4,,ふつうに,飛行機,空港,1,
厉害,li4 hai5,さらに悪いことに,さらに悪いことに,4,,公務員,先生,医者,1,
力气,li4 qi5,強,強,4,,低い,短い,笑う,2,
例如,li4 ru2,例えば,例えば,4,,音声,訴え,訴える,2,
俩,lia3,どちらも,どちらも,4,,注ぐ、注入する,空,海,2,
连,lian2,さえ,さえ,4,,けれど,生きる,希望,1,
联系,lian2 xi4,接触,結びつく、関連する,4,,電車,機関車,タクシー,3,
凉快,liang2 kuai5,涼み,涼しい、涼む,4,,キロメートル,会社,会社員,3,
亮,liang4,明るい,明るい,4,,学校,駅,宿舎,0,
聊天,liao2 tian1,話す,おしゃべりする,4,,教師、(学校の)先生,病院,正月,3,
另外,ling4 wai4,他の,他の,4,,作業、作業する,研究、研究する,宿題、宿題をやる,0,
留,liu2,滞在,滞在,4,,テーブル,デスク,子供,1,
留学,liu2 xue2,留学,留学する,4,,ない,買う,もしもし,3,
流泪,liu2 lei4,叫び,叫び,4,,太陽,日,秒,3,
流利,liu2 li4,流暢,流暢,4,,国内,国外,またね,3,
流行,liu2 xing2,流行っている,流行っている,4,,最悪の,その通り,錯乱する,3,
乱,luan4,不規則,不規則,4,,特別に,平民,起きている間,1,
律师,lv4 shi1,弁護士,弁護士,4,,リ,チョウ,チン,0,
麻烦,ma2 fan5,トラブル,面倒だ、面倒をかける,4,,チン,ワン、オウ,チョウ,0,
马虎,ma3 hu5,不注意な,いい加減だ,4,,リ,ワン、オウ,チン,2,
满,man3,いっぱい,いっぱい,4,,リ,リ,チョウ,1,
毛巾,mao2 jin1,タオル,タオル,4,,李弁護士,李博士,ドクター李,0,
美丽,mei3 li4,美しい,美しい,4,,李(リ),王(ワン、オウ),陳(チン),2,
梦,meng4,夢,夢,4,,(年上の)李さん,張さん,陳さん,1,
密码,mi4 ma3,パスワード,パスワード、暗号,4,,(年上の)趙さん,(年上の)張さん,(同年代か年下の)張さん,2,
免费,mian3 fei4,自由な,費用を免除する、無料にする,4,,李さん,李先生,ドクター李,1,
民族,min2 zu2,国家,民族,4,,子犬,パンダ,ハムスター,1,
母亲,mu3 qin1,母,母,4,,ネコ,パンダ,狐(キツネ),1,
目的,mu4 di4,目的,目的,4,「的」の読みに注意。,子猫,天狗(てんぐ),ミニチュア・ダックスフンド,1,
耐心,nai4 xin1,患者,辛抱、根気、我慢、辛抱強い、根気強い、我慢強い,4,,祝日,急死,人間,1,
难道,nan2 dao4,まさか～だろう,まさか～だろう,4,,たくさん破けた服,服を何度も試着する,服が破れてしまった,1,
难受,nan2 shou4,不快な,不快な,4,,もう9時5分なのに、どうして来てないんですか？,まだ9時5分なのに、どうして来てるんですか？,まだ9時50分なのに、どうして来てるんですか？,0,
内,nei4,以内,以内,4,,これ,これ、ここ,ここ,1,
